,Tool_id,CommunicationTools
0,0,Slack
1,1,Confluence
2,2,"Office / productivity suite (Microsoft Office, Google Suite, etc.)"
3,3,"Other wiki tool (Github, Google Sites, proprietary software, etc.)"
4,4,
5,5,Jira
6,6,"Other chat system (IRC, proprietary software, etc.)"
7,7,Stack Overflow Enterprise
8,8,Facebook
9,9,Google Hangouts/Chat
10,10,Trello
11,11,HipChat
